Name,Brewery,Price,Rating,ABV,Style,Image_File,URL,Country
Hasard,Brasserie du Bas-Canada,9.00,4.38,10%,IPA - Triple,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-5830523_18225_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/hasard--357140"", ""Beer Page"")",Canada
Néron,Brasserie du Bas-Canada,8.50,4.36,8%,IPA - Imperial / Double,beer-images.beerizer.com%2Fraw%2F87%2F35%2F352599.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/neron--352599"", ""Beer Page"")",Canada
Doubly Dry Hopped #GatineauIsTrending,Brasserie du Bas-Canada,12.50,4.36,10%,IPA - Triple,beer-images.beerizer.com%2Fraw%2F87%2F36%2F366200.jpg,"=HYPERLINK(""https://beerizer.com/shop/hetbiermeisje/doubly-dry-hopped-gatineauistrending--366200"", ""Beer Page"")",Canada
Whale Sharks,Verdant Brewing Co,10.50,4.20,8.4%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F26%2F36%2F364927.jpg,"=HYPERLINK(""https://beerizer.com/shop/acedrinks/verdant-whale-sharks--364927"", ""Beer Page"")",England
Even Sharks Need Water (esnw),Verdant Brewing Co,7.50,4.08,6.5%,IPA - New England / Hazy,www.acedrinks.nl%2Fmedia%2Fcache%2Fsylius_shop_product_small_thumbnail%2Fverdant-even-sharks-need-water-esnw-18754-0-689f44b4dfbc9.webp,"=HYPERLINK(""https://beerizer.com/shop/acedrinks/verdant-even-sharks-need-water-esnw--365070"", ""Beer Page"")",England
Baby Sharks,Verdant Brewing Co,5.75,3.91,4.8%,Pale Ale - New England / Hazy,beer-images.beerizer.com%2Fraw%2F26%2F36%2F364926.jpg,"=HYPERLINK(""https://beerizer.com/shop/acedrinks/verdant-baby-sharks--364926"", ""Beer Page"")",England
Time Being - Mixed Berry Wild Sour,Cloudwater Brew Co.,21.00,4.13,7.5%,Wild Ale - Other,beer-images.beerizer.com%2Fraw%2F29%2F38%2F386381.jpg,"=HYPERLINK(""https://beerizer.com/shop/cloudwater/time-being-mixed-berry-wild-sour--386381"", ""Beer Page"")",England
Barrel Project: Fruit Sharers,Cloudwater Brew Co.,62.80,4.05,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F29%2F38%2F382764.jpg,"=HYPERLINK(""https://beerizer.com/shop/cloudwater/barrel-project-fruit-sharers--382764"", ""Beer Page"")",England
Hobgoblin Ruby,Marston's Brewery,4.20,3.40,5.2%,Brown Ale - English,beer-images.beerizer.com%2Fraw%2F27%2F39%2F392191.jpg,"=HYPERLINK(""https://beerizer.com/shop/speciaalbierpakket/hobgoblin-ruby--392191"", ""Beer Page"")",England
Breakfast Club 3.0,Vocation Brewery,5.40,3.64,6.9%,Stout - Pastry,beer-images.beerizer.com%2Fraw%2F90%2F43%2F432693.png,"=HYPERLINK(""https://beerizer.com/shop/brygshoppen/breakfast-club-30--432693"", ""Beer Page"")",England
schlenkerla Schlenkerla: Helles Lager,"Schlenkerla (""Heller-Bräu"" Trum)",3.50,3.48,4.3%,Lager - Helles,beer-images.beerizer.com%2Fraw%2F93%2F40%2F400316.jpg,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/schlenkerla-schlenkerla-helles-lager--400316"", ""Beer Page"")",Germany
Double Black Mash (2025) Original Version,Amager Bryghus,10.99,4.20,12%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6221946_fb58c_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/acedrinks/amager-bryghus-double-black-mash-2025-original-version--432692"", ""Beer Page"")",Denmark
The Don,Verdant Brewing Co,11.99,4.14,10%,IPA - Triple New England / Hazy,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6332895_f980f_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/acedrinks/verdant-the-don--432691"", ""Beer Page"")",England
Confronting Suitors BA Stout,Moersleutel Craft Brewery,14.10,4.37,14%,Stout - Imperial / Double Pastry,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6308977_1f2e8_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/confronting-suitors-ba-stout--432685"", ""Beer Page"")",Netherlands
What About 2nd Breakfast? – Dailuaine BA Breakfast Stout,Jopen,6.75,4.17,11%,Stout - Coffee,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6281772_7e279_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/what-about-2nd-breakfast-dailuaine-ba-breakfast-stout--432688"", ""Beer Page"")",Netherlands
Don't Trye This @ Home! Woodford BA Rye Wine,Jopen,18.95,4.14,13.2%,Rye Wine,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6079677_d1e43_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/dont-trye-this-at-home-woodford-ba-rye-wine--432690"", ""Beer Page"")",Netherlands
Don't Think He Knows … – Ailsa Bay BA Breakfast Stout,Jopen,6.75,4.09,11%,Stout - Coffee,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6281782_5db43_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/dont-think-he-knows-ailsa-bay-ba-breakfast-stout--432686"", ""Beer Page"")",Netherlands
You've Already Had Breakfast – Deanston & Invergordon BA Breakfast Stout,Jopen,6.75,4.06,11%,Stout - Coffee,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6281774_bb869_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/youve-already-had-breakfast-deanston-invergordon-ba-breakfast-stout--432687"", ""Beer Page"")",Netherlands
Don't tRYE This @ Home! Ailsa BA Rye Wine,Jopen,18.95,4.00,12%,Rye Wine,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-5950541_8c6b8_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/dont-trye-this-at-home-ailsa-ba-rye-wine--432689"", ""Beer Page"")",Netherlands
Aoraki,Vocation Brewery,4.75,3.92,8%,IPA - Imperial / Double New England / Hazy,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-4619696_b5f0c_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/acedrinks/vocation-aoraki--432683"", ""Beer Page"")",England
Naughty & Nice - White Chocolate & Raspberry,Vocation Brewery,5.75,3.51,6.6%,Stout - White / Golden,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6170841_2d4fd_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/acedrinks/vocation-naughty-nice-white-chocolate-raspberry--432684"", ""Beer Page"")",England
Arpus Red & Black Currant,Ārpus Brewing Co.,5.99,4.15,6%,Sour - Fruited Berliner Weisse,beer-images.beerizer.com%2Fraw%2F68%2F43%2F432678.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/arpus-red-black-currant--432678"", ""Beer Page"")",Latvia
Arpus TDH Nectaron X Pacifica X Ekuanot,Ārpus Brewing Co.,6.50,4.03,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F68%2F43%2F432680.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/arpus-tdh-nectaron-x-pacifica-x-ekuanot--432680"", ""Beer Page"")",Latvia
Arpus Single Hop Series TDH Superdelic,Ārpus Brewing Co.,6.25,3.87,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F68%2F43%2F432679.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/arpus-single-hop-series-tdh-superdelic--432679"", ""Beer Page"")",Latvia
MOPA,De Mortselarij,3.50,3.45,5.5%,Pale Ale - Belgian,beer-images.beerizer.com%2Fraw%2F68%2F43%2F432682.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/de-mortselarij-mopa--432682"", ""Beer Page"")",Belgium
Arpus,Arpus,4.99,N/A,N/A,Heffeweizen,beer-images.beerizer.com%2Fraw%2F68%2F43%2F432681.jpg,"=HYPERLINK(""https://beerizer.com/shop/brother_beer/arpus--432681"", ""Beer Page"")",Letland
Bianca Out of Order – Blueberry Ice Cream Lassi Gose,Omnipollo,18.60,4.38,6%,Sour - Fruited Gose,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6202965_f2c66_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/bianca-out-of-order-blueberry-ice-cream-lassi-gose--432676"", ""Beer Page"")",Sweden
Eton Mess Brush BA Imp. Stout  Bourbon & Midsummer Hot Suace,Omnipollo,19.95,4.34,14.5%,Stout - Imperial / Double,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-6103943_9e4a5_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/eton-mess-brush-ba-imp-stout-bourbon-midsummer-hot-suace--432677"", ""Beer Page"")",Sweden
Papanero Barrel Aged (Rum),Ritual Lab,9.95,4.27,12.5%,Stout - Imperial / Double,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-184265_252c4.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/papanero-barrel-aged-rum--432675"", ""Beer Page"")",Italy
Schorschbock 13,Schorschbräu,9.95,3.20,13%,Bock - Doppelbock,assets.untappd.com%2Fsite%2Fbeer_logos%2Fbeer-64353_c17f2_sm.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/schorschbock-13--432673"", ""Beer Page"")",Germany
Schorschbock 25,Schorschbräu,16.95,N/A,25%,Bock - Eisbock,untappd.akamaized.net%2Fsite%2Fbrewery_logos%2Fbrewery-2540_f810e.jpeg,"=HYPERLINK(""https://beerizer.com/shop/melgers/schorschbock-25--432674"", ""Beer Page"")",Germany
Peanut Butter x Almond x Vanilla Imperial Stout,Ārpus Brewing Co.,7.14,4.16,11.5%,Stout - Imperial / Double Pastry,beer-images.beerizer.com%2Fraw%2F95%2F40%2F404887.jpg,"=HYPERLINK(""https://beerizer.com/shop/brewhunter/peanut-butter-x-almond-x-vanilla-imperial-stout--404887"", ""Beer Page"")",Latvia
schlenkerla Schlenkerla: Erle,"Schlenkerla (""Heller-Bräu"" Trum)",3.95,3.81,4.2%,Rauchbier,beer-images.beerizer.com%2Fraw%2F93%2F40%2F400318.png,"=HYPERLINK(""https://beerizer.com/shop/littlebeershop/schlenkerla-schlenkerla-erle--400318"", ""Beer Page"")",Germany
Passionfruit X Lemon X Blueberry X Mango X Coconut Smoothie Sour Ale,Ārpus Brewing Co.,7.49,4.29,4.5%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432663.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/passionfruit-x-lemon-x-blueberry-x-mango-x-coconut-smoothie-sour-ale--432663"", ""Beer Page"")",Latvia
Midnight City,Little Rain Brewing Company,6.79,4.25,7.2%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432655.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/midnight-city--432655"", ""Beer Page"")",Spain
Blinding Lights,Little Rain Brewing Company,7.29,4.21,6%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432652.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/blinding-lights--432652"", ""Beer Page"")",Spain
Xenosapien 3 Year Anniversary Edition,P.i.g.s. Brewery,8.79,4.18,8.2%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432667.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/xenosapien-3-year-anniversary-edition--432667"", ""Beer Page"")",Greece
Turbo,SOMA Beer,7.79,4.16,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432670.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/turbo--432670"", ""Beer Page"")",Spain
Fiesta Pagana,Little Rain Brewing Company,6.99,4.16,7.7%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432653.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/fiesta-pagana--432653"", ""Beer Page"")",Spain
Red & Black Currant Berliner Weisse,Ārpus Brewing Co.,5.99,4.15,6%,Sour - Fruited Berliner Weisse,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432664.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/red-black-currant-berliner-weisse--432664"", ""Beer Page"")",Latvia
Swipe,SOMA Beer,7.79,4.12,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432669.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/swipe--432669"", ""Beer Page"")",Spain
Soft Focus,Salikatt Bryggeri,7.79,4.10,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432659.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/soft-focus--432659"", ""Beer Page"")",Norway
Dogs,Little Rain Brewing Company,6.79,4.09,7.3%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432656.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/dogs--432656"", ""Beer Page"")",Spain
Zapatillas,Little Rain Brewing Company,6.99,4.08,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432654.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/zapatillas--432654"", ""Beer Page"")",Spain
Mirage,SOMA Beer,7.29,4.06,7%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432671.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/mirage--432671"", ""Beer Page"")",Spain
Photon Flux,Salikatt Bryggeri,7.79,4.05,8%,IPA - Imperial / Double New England / Hazy,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432658.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/photon-flux--432658"", ""Beer Page"")",Norway
Big Mood,Salikatt Bryggeri,7.99,4.05,10%,IPA - Triple New England / Hazy,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432657.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/big-mood--432657"", ""Beer Page"")",Norway
Ghost,SOMA Beer,7.29,4.03,6.5%,IPA - New England / Hazy,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432672.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/ghost--432672"", ""Beer Page"")",Spain
Mango Smoothie,Salikatt Bryggeri,7.49,3.96,5.5%,Sour - Smoothie / Pastry,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432660.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/mango-smoothie--432660"", ""Beer Page"")",Norway
Shanghai Noon,P.i.g.s. Brewery,7.49,3.95,6.5%,IPA - American,beer-images.beerizer.com%2Fraw%2F18%2F43%2F432668.jpg,"=HYPERLINK(""https://beerizer.com/shop/beerdome/shanghai-noon--432668"", ""Beer Page"")",Greece
